LANGUAGE,INCOME,CURRENT_GENDER,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,OTHER_LANGUAGE,dis-score,score
13,1.0,0.0,5.0,3,3.0,4.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,6.0,0.0,5.0,3,3.0,0.0,1.0,0.0,1.0,-999.0,0.0,0.0
13,10.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,7.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,6.0,0.0,5.0,3,4.0,0.0,1.0,0.0,1.0,-999.0,0.0,0.0
13,7.0,1.0,5.0,2,4.0,1.0,0.0,0.0,2.0,1.0,0.9911,312480.0
13,10.0,1.0,4.0,1,3.0,0.0,-999.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,3.0,4.0,0.0,0.0,2.0,-999.0,0.6192,2160.0
13,8.0,0.0,4.0,3,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,1.0,1.0,4.0,3,3.0,2.0,0.0,0.0,2.0,-999.0,0.39,720.0
40,6.0,1.0,6.0,3,4.0,0.0,0.0,1.0,2.0,0.0,0.9743,87840.0
13,6.0,0.0,2.0,1,3.0,3.0,0.0,0.0,1.0,-999.0,0.7697,5040.0
13,7.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,5.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,4.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
22,8.0,0.0,5.0,3,4.0,0.0,-999.0,0.0,1.0,0.0,0.9828,142560.0
13,10.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,8.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,1.0,1.0,6.0,3,3.0,2.0,0.0,0.0,2.0,1.0,0.8343,8160.0
13,7.0,0.0,5.0,1,3.0,3.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,3.0,0.0,0.0,-999.0,2.0,-999.0,0.0,0.0
13,10.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,0.0,5.0,1,3.0,3.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,10.0,0.0,5.0,1,3.0,3.0,0.0,0.0,1.0,1.0,0.5354,1440.0
13,9.0,0.0,5.0,3,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,4.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,8.0,1.0,5.0,1,3.0,3.0,0.0,0.0,2.0,1.0,0.0601,48.0
13,8.0,0.0,5.0,3,3.0,3.0,-999.0,0.0,1.0,1.0,0.0,0.0
13,7.0,1.0,4.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,9.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,3.0,0.0,5.0,3,1.0,4.0,0.0,0.0,1.0,1.0,0.9767,98640.0
13,6.0,1.0,5.0,3,1.0,2.0,0.0,1.0,2.0,1.0,0.9267,24120.0
13,8.0,1.0,6.0,3,3.0,0.0,2.0,0.0,2.0,-999.0,0.954,43200.0
13,8.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,4.0,1.0,6.0,3,1.0,0.0,0.0,0.0,2.0,-999.0,0.8576,10080.0
13,9.0,0.0,5.0,1,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
13,10.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,1,4.0,1.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,1,-999.0,1.0,-999.0,0.0,2.0,-999.0,0.0,0.0
13,10.0,1.0,5.0,3,4.0,4.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,10.0,1.0,5.0,3,4.0,4.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,0.0,5.0,1,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,7.0,0.0,5.0,1,4.0,1.0,0.0,0.0,1.0,1.0,0.9157,20160.0
13,4.0,1.0,5.0,3,4.0,1.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
13,6.0,1.0,6.0,3,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
13,5.0,1.0,6.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.8689,11280.0
13,1.0,1.0,5.0,3,3.0,2.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,10.0,1.0,5.0,1,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
13,7.0,1.0,5.0,1,2.0,0.0,0.0,-999.0,2.0,-999.0,0.6192,2160.0
13,4.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,8.0,1.0,5.0,3,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
13,8.0,1.0,5.0,1,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
13,7.0,1.0,5.0,1,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,1.0,4.0,1,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,7.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,-999.0,0.0,0.0
40,6.0,1.0,5.0,1,4.0,4.0,0.0,1.0,2.0,0.0,0.9862,184320.0
13,8.0,0.0,2.0,3,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,7.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,1.0,1.0,4.0,3,1.0,4.0,0.0,0.0,2.0,1.0,0.2268,288.0
13,3.0,1.0,2.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.6192,2160.0
13,4.0,1.0,5.0,3,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
40,10.0,1.0,6.0,1,4.0,0.0,-999.0,2.0,2.0,1.0,0.9951,630000.0
13,1.0,0.0,5.0,3,3.0,2.0,0.0,0.0,1.0,1.0,0.5821,1800.0
13,5.0,1.0,5.0,3,4.0,2.0,0.0,0.0,2.0,-999.0,0.0,0.0
40,10.0,0.0,2.0,1,4.0,0.0,0.0,0.0,1.0,1.0,0.9939,483840.0
40,9.0,0.0,2.0,1,4.0,0.0,0.0,1.0,1.0,1.0,0.9907,295200.0
