age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,dis-score,score
20.5,7.0,1.0,1.0,6.0,2,0,1,1,1,2.5,0.9702,141840.0
23.25,7.0,2.0,1.0,7.0,0,0,1,1,1,3.0,0.9464,69120.0
23.25,,,,,1,1,1,0,0,3.0,0.6561,5040.0
23.75,7.0,1.0,1.0,7.0,0,0,1,0,0,3.0,0.0,0.0
21.5,1.0,7.0,7.0,1.0,2,1,1,1,1,2.5,0.0,0.0
23.5,7.0,1.0,1.0,7.0,2,0,1,1,1,2.5,0.5672,3240.0
21.5,7.0,1.0,1.0,7.0,2,0,1,0,0,3.0,0.0,0.0
21.0,7.0,1.0,4.0,3.0,2,1,1,0,0,4.0,0.9971,2299680.0
20.75,7.0,1.0,1.0,7.0,0,0,1,1,1,4.0,0.7369,7920.0
21.0,7.0,1.0,1.0,7.0,0,0,1,0,0,6.0,0.4429,1800.0
24.0,7.0,1.0,1.0,7.0,2,0,1,1,1,3.5,0.7025,6480.0
24.5,7.0,1.0,6.0,1.0,2,1,1,0,0,5.0,0.9863,362160.0
24.25,7.0,2.0,1.0,6.0,0,0,1,1,0,5.0,0.9074,34560.0
21.25,,,,,0,0,1,0,0,2.0,0.0,0.0
23.5,2.0,6.0,6.0,2.0,0,1,1,1,0,4.5,0.9625,107280.0
25.75,,,,,0,0,1,0,0,5.0,0.0,0.0
25.0,,,,,0,1,1,0,0,5.0,0.0,0.0
24.25,,,,,2,1,1,0,1,3.5,0.7747,10080.0
22.75,6.0,2.0,1.0,7.0,1,0,0,0,0,4.0,0.9691,136080.0
23.25,7.0,2.0,2.0,6.0,0,0,1,0,0,4.5,0.913,37440.0
25.5,,,,,0,1,0,1,0,5.5,0.7025,6480.0
25.5,,,,,0,1,1,0,0,5.5,0.0,0.0
23.5,1.0,7.0,7.0,1.0,2,1,0,0,0,5.0,0.7369,7920.0
20.75,1.0,7.0,7.0,1.0,2,1,1,0,0,3.0,0.0,0.0
24.75,7.0,1.0,1.0,5.0,2,0,1,0,0,4.5,0.9864,364320.0
24.25,4.0,4.0,1.0,7.0,2,0,1,1,1,2.0,0.987,384480.0
23.75,,,,,0,1,1,0,0,5.0,0.0,0.0
26.0,1.0,7.0,7.0,1.0,2,1,1,0,0,5.0,0.9809,241920.0
20.0,1.0,7.0,7.0,1.0,1,1,1,1,1,4.0,0.9693,136800.0
23.25,,,,,2,0,1,1,1,3.5,0.0,0.0
26.0,,,,,0,0,1,0,0,4.5,0.2673,720.0
25.5,,,,,2,0,1,1,1,2.0,0.0,0.0
22.0,6.0,2.0,1.0,7.0,2,0,1,0,0,2.0,0.957,90720.0
23.25,,,,,2,0,0,0,0,4.0,0.0,0.0
20.5,7.0,1.0,1.0,1.0,0,0,1,0,0,6.0,0.9912,614880.0
20.5,1.0,7.0,7.0,1.0,0,1,1,0,0,4.5,0.0,0.0
24.75,7.0,1.0,1.0,7.0,0,0,1,0,1,5.0,0.9311,50400.0
24.25,4.0,4.0,1.0,7.0,2,0,1,0,0,2.5,0.9775,199560.0
21.5,7.0,1.0,1.0,7.0,2,0,1,0,0,2.0,0.0,0.0
20.25,1.0,7.0,7.0,1.0,2,1,1,0,0,4.0,0.0,0.0
21.25,1.0,7.0,7.0,1.0,2,1,1,1,0,3.5,0.4814,2160.0
22.0,,,,,0,0,1,0,0,5.0,0.0,0.0
23.5,,,,,0,0,1,0,0,5.5,0.0,0.0
20.0,5.0,3.0,2.0,6.0,2,0,1,0,0,2.5,0.9841,302400.0
22.75,7.0,1.0,1.0,7.0,2,0,1,1,0,3.5,0.8211,14160.0
23.0,,,,,0,1,1,0,0,5.0,0.0,0.0
23.5,1.0,7.0,7.0,1.0,2,1,1,0,0,3.0,0.0,0.0
22.0,5.0,3.0,1.0,7.0,2,0,1,1,1,3.5,0.9876,404640.0
23.75,,,,,2,0,1,1,1,3.0,0.0,0.0
24.5,1.0,7.0,6.0,2.0,1,1,0,0,0,2.5,0.9873,393840.0
22.25,,,,,2,0,0,1,1,4.0,0.9311,50400.0
21.0,,,,,0,1,0,0,0,5.0,0.0,0.0
22.0,,,,,0,1,1,0,0,4.0,0.0,0.0
20.25,7.0,1.0,1.0,7.0,0,0,0,0,0,3.5,0.8974,30240.0
20.25,,,,,2,0,1,1,1,3.5,0.0,0.0
21.0,7.0,1.0,1.0,7.0,2,0,1,0,0,3.0,0.0,0.0
22.5,,,,,1,1,1,0,0,4.0,0.0,0.0
23.75,7.0,1.0,1.0,7.0,0,0,1,0,0,5.0,0.0,0.0
20.5,7.0,2.0,1.0,7.0,2,0,1,0,0,3.0,0.9263,46320.0
21.25,7.0,1.0,1.0,7.0,0,0,0,0,0,5.0,0.959,96240.0
23.25,,,,,0,0,1,0,0,6.0,0.0,0.0
23.25,,,,,2,1,1,1,0,4.5,0.0,0.0
21.25,1.0,7.0,7.0,1.0,1,1,1,0,0,4.0,0.8292,15120.0
21.75,,,,,0,1,1,1,0,5.0,0.0,0.0
21.0,,,,,0,1,1,1,0,4.5,0.0,0.0
23.0,7.0,1.0,1.0,7.0,1,0,1,0,0,2.0,0.0,0.0
24.75,7.0,1.0,1.0,7.0,0,0,1,1,1,3.0,0.4814,2160.0
25.5,,,,,0,1,0,1,1,3.5,0.7764,10200.0
21.5,1.0,7.0,7.0,1.0,2,1,1,1,1,3.0,0.0,0.0
25.0,,,,,0,1,1,1,0,4.0,0.0,0.0
21.5,7.0,2.0,1.0,7.0,0,0,1,0,0,4.5,0.7939,11520.0
24.75,6.0,3.0,3.0,4.0,0,0,1,1,0,5.0,0.9974,2545200.0
21.75,7.0,1.0,1.0,7.0,0,0,1,1,0,4.5,0.0,0.0
24.75,7.0,2.0,1.0,6.0,0,0,1,0,0,3.5,0.9638,112008.0
20.25,1.0,7.0,7.0,1.0,2,1,1,0,0,2.5,0.0,0.0
20.5,1.0,7.0,7.0,1.0,0,1,1,0,0,4.0,0.0,0.0
20.5,1.0,6.0,6.0,2.0,2,1,1,1,0,4.0,0.9856,339120.0
22.5,7.0,1.0,1.0,7.0,1,0,1,0,0,3.5,0.8098,12960.0
21.25,6.0,1.0,6.0,2.0,0,1,1,1,1,6.0,0.9954,1315440.0
25.5,,,,,0,1,0,0,0,3.0,0.3178,960.0
21.75,1.0,7.0,6.0,1.0,2,1,1,0,0,4.0,0.7848,10800.0
21.0,1.0,7.0,7.0,1.0,0,1,0,0,0,6.0,0.7747,10080.0
20.75,2.0,7.0,7.0,1.0,0,1,1,0,0,4.0,0.9431,64080.0
22.0,7.0,2.0,1.0,7.0,1,0,0,0,0,3.0,0.9697,138960.0
23.5,,,,,2,1,1,1,1,3.5,0.0,0.0
22.75,3.0,6.0,3.0,4.0,0,0,1,0,0,6.0,0.9973,2499840.0
23.5,6.0,2.0,1.0,6.0,0,0,1,0,0,4.5,0.8992,30960.0
22.5,,,,,1,0,1,0,0,2.0,0.3967,1440.0
